Version               : 0.3                  
System                : Sunbeam              
Analysis Type         : Area                 
Current time          : 19-Feb-2021 19:22:52 



Motion      : 1 
  Name      : Azimuth 
  Method    : Step    
  Minimum   : -180 
  Maximum   : 180 
  Step      : 5 
Motion      : 2 
  Name      : Elevation 
  Method    : Step    
  Minimum   : -90 
  Maximum   : 90  
  Step      : 5 
: END 

Record count :  2701 
Azimuth    Elevation Force(X)           Force(Y)           Force(Z)           
   degrees degrees                m^2                m^2                m^2 
---------- ------- ------------------ ------------------ ------------------ 
   -160.00   70.00 -765.70388920309540 -261.88615393026470  95.31876479707316 
   -160.00   75.00 -809.05263431881917 -203.71126479707317  74.14483677085511 
   -160.00   80.00 -840.99252959414639 -139.34671196589642  50.71805539845234 
   -160.00   85.00 -860.55309747350316 -70.74817980447450  25.75023157734199 
   -160.00   90.00 -867.14000000000010  -0.00000000000000   0.00000000000000 
   -155.00  -90.00 -494.86000000000001   0.00000000000000  -0.00000000000000 
   -155.00  -85.00 -491.10098232781070  38.94021065831131 -18.15811844013946 
   -155.00  -80.00 -479.93814516105726  76.69724272046719 -35.76451163992657 
   -155.00  -75.00 -461.71066565838368 112.12386787323913 -52.28421825125063 
   -155.00  -70.00 -436.97237656092881 144.14366603809751 -67.21529534810146 
   -155.00  -65.00 -406.47493826474039 171.78373185060272 -80.10406970838081 
   -155.00  -60.00 -371.14499999999998 194.20423589758994 -90.55892244518608 
   -155.00  -55.00 -332.05604406307026 210.72394250891404 -98.26218814852027 
   -155.00  -50.00 -290.39576860012858 220.84090875856469 -102.97980698802802 
   -155.00  -45.00 -247.43000000000006 224.24773574647836 -104.56843650250129 
   -155.00  -40.00 -204.46423139987138 220.84090875856467 -102.97980698802802 
   -155.00  -35.00 -162.80395593692975 210.72394250891401 -98.26218814852025 
   -155.00  -30.00 -123.71500000000000 194.20423589758994 -90.55892244518608 
   -155.00  -25.00 -88.38506173525958 171.78373185060272 -80.10406970838081 
   -155.00  -20.00 -57.88762343907126 144.14366603809751 -67.21529534810146 
   -155.00  -15.00 -33.14933434161634 112.12386787323913 -52.28421825125063 
   -155.00  -10.00 -14.92185483894268  76.69724272046717 -35.76451163992657 
   -155.00   -5.00  -3.75901767218936  38.94021065831131 -18.15811844013946 
   -155.00    0.00  -0.00000000000000  -0.00000000000000   0.00000000000000 
