Sail.SunInertial.VMAG     Sail.DeepSpaceSail_ForceModel.AccelerationX   Sail.DeepSpaceSail_ForceModel.AccelerationY   Sail.DeepSpaceSail_ForceModel.AccelerationZ   
20.94852455630006         2.181955246778207e-06                         7.025011512593212e-07                         3.382665725156824e-08                         
20.503738845638           2.058409256504964e-06                         8.130986509664711e-07                         1.027566971458814e-07                         
20.11021239889405         1.940220486837072e-06                         9.11364902734649e-07                          1.651484191979667e-07                         
19.95749410221412         1.891200912460957e-06                         9.501700485308961e-07                         1.900883648186447e-07                         
19.82448398758395         1.846187407416211e-06                         9.845289858636179e-07                         2.123127055695548e-07                         
19.52028141508876         1.735196116995498e-06                         1.066295614568637e-06                         2.657293446385338e-07                         
19.26308924295241         1.628428748295707e-06                         1.141556083560479e-06                         3.155261849519503e-07                         
19.11343414455848         1.557333126474771e-06                         1.190122502257115e-06                         3.479592875046646e-07                         
18.98488273648554         1.486728204112048e-06                         1.236718925929049e-06                         3.79279059491313e-07                          
18.83449956844901         1.385910301666138e-06                         1.301836597140937e-06                         4.233495595598299e-07                         
18.72760305838414         1.286978322627657e-06                         1.364406580976432e-06                         4.65990104079669e-07                          
18.66377479246402         1.188959715464757e-06                         1.425253645064866e-06                         5.076992200206137e-07                         
18.64236519469674         1.090222367555286e-06                         1.485073970779547e-06                         5.489216043052016e-07                         
18.66308976754401         9.908256692654351e-07                         1.544467142676244e-06                         5.900629852998326e-07                         
18.72620651489128         8.897846880280768e-07                         1.603965273602461e-06                         6.315087002738052e-07                         
18.83226888669807         7.860170873208939e-07                         1.664034283560943e-06                         6.736271982791891e-07                         
18.98184277831241         6.775582582766489e-07                         1.725076681868001e-06                         7.16775259706223e-07                          
19.17574566312507         5.637790807361291e-07                         1.787428052833229e-06                         7.613015149308397e-07                         
19.41555162342818         4.431584243233039e-07                         1.851351799968251e-06                         8.075499734472037e-07                         
19.70328225276116         3.138738044577779e-07                         1.917029888480318e-06                         8.558639182501946e-07                         
20.04145743410736         1.737574020170148e-07                         1.984536582294436e-06                         9.065867800546851e-07                         
20.43314846248822         2.019124572354783e-08                         2.053758975214761e-06                         9.600354253019439e-07                         
20.88187647370183         -1.502885745517554e-07                        2.124346011896738e-06                         1.016492708763701e-06                         
21.3919892766884          -3.410319792221633e-07                        2.195593514019875e-06                         1.076177413430499e-06                         
21.9688516731697          -5.566737250746893e-07                        2.266258843940863e-06                         1.139184085021239e-06                         
22.61876834783924         -8.02920710541284e-07                         2.334284441431177e-06                         1.205387154044816e-06                         
23.34905800800414         -1.086805885493952e-06                        2.396370511082616e-06                         1.274281103110647e-06                         
24.16807492495136         -1.416955618674924e-06                        2.44731270594025e-06                          1.344714601991215e-06                         
25.08511453595752         -1.803811345070728e-06                        2.478985131054528e-06                         1.414455491866273e-06                         
26.1099266037881          -2.260577912763803e-06                        2.478756339544903e-06                         1.479467524889548e-06                         
27.16135319199512         -2.756848246752101e-06                        2.433376408406045e-06                         1.529341943309129e-06                         
28.41874921605604         -3.386186978112634e-06                        2.307861444828884e-06                         1.561334398898584e-06                         
29.13259008296777         -3.759617387651328e-06                        2.196129817767457e-06                         1.56316989370672e-06                          
30.58402237679894         -4.553757698943575e-06                        1.860022922725955e-06                         1.520970748004583e-06                         
31.59033473469802         -5.120964091819471e-06                        1.524701782821754e-06                         1.446744125154684e-06                         
32.41649553393471         -5.592899348661641e-06                        1.17400105434706e-06                          1.351217905920237e-06                         
33.52259157769163         -6.214714163513242e-06                        5.776500085399873e-07                         1.162775933447249e-06                         
34.78104090019647         -6.878677047872925e-06                        -3.170888660708554e-07                        8.401494185791341e-07                         
35.31307755395522         -7.127061769534865e-06                        -7.794008189686334e-07                        6.597401925372278e-07                         
35.76188011767623         -7.316733299790578e-06                        -1.215117453138799e-06                        4.826617177095837e-07                         
36.29241396892174         -7.502977466564706e-06                        -1.790931364950913e-06                        2.391993190599798e-07                         
36.79008479827162         -7.625300698059178e-06                        -2.399566744306578e-06                        -2.89627454644252e-08                         
37.21658876610609         -7.678893344633567e-06                        -2.982064592437338e-06                        -2.955451212549068e-07                        
37.83175958880597         -7.62154383534343e-06                         -3.941502534118722e-06                        -7.556739107112766e-07                        
38.37687359061976         -7.364062618922003e-06                        -4.943664029635133e-06                        -1.266009825053457e-06                        
38.69107308931301         -7.05821047167438e-06                         -5.612242243754325e-06                        -1.625971131702531e-06                        
38.96439264102099         -6.626955530671335e-06                        -6.275621101437241e-06                        -2.002368286455215e-06                        
39.20771663345146         -5.972702711447305e-06                        -6.979250940828164e-06                        -2.430145943548948e-06                        
39.42503790138556         -4.24071170137235e-06                         -8.028411210228373e-06                        -3.179194843697851e-06                        
39.31096708339638         -2.507401786986264e-06                        -8.408419940676981e-06                        -3.61185121928617e-06                         
38.73770942116102         -1.341750239643548e-07                        -8.144896253943559e-06                        -3.831893780021299e-06                        
37.75637581863183         1.849406061721367e-06                         -7.185742133993114e-06                        -3.664545302348621e-06                        
36.36303547680738         3.317657924252574e-06                         -5.762967713376951e-06                        -3.201405124090622e-06                        
35.78669802431585         3.681747473727404e-06                         -5.210603892855828e-06                        -2.991677463196589e-06                        
35.18854761090952         3.958324913573267e-06                         -4.667711403900943e-06                        -2.773877697966934e-06                        
33.54049834047662         4.344248816681115e-06                         -3.340782982786881e-06                        -2.199644262824111e-06                        
32.61759719055916         4.39217845934792e-06                          -2.703876529829442e-06                        -1.904253318426246e-06                        
31.00058675831758         4.288538597418936e-06                         -1.755794956416975e-06                        -1.439926164705012e-06                        
29.90277906430698         4.128129282283784e-06                         -1.221767361144094e-06                        -1.163806130337741e-06                        
28.44153498875918         3.841835459475229e-06                         -6.30634779515924e-07                         -8.430888796391599e-07                        
27.38244148045863         3.603450823439438e-06                         -2.771424355229113e-07                        -6.417448519340368e-07                        
26.11597020056971         3.297289959511963e-06                         7.413934004753165e-08                         -4.321638377531656e-07                        
24.95589047464989         3.009012162214932e-06                         3.367127082695845e-07                         -2.670772675768691e-07                        
