Sail.ElapsedDays          Sail.Sun.RMAG             Sail.Sun.SMA              
738.4650900222623         187985948.3467277         189580552.4253617         
746.0051026862857         183438257.3998041         188800690.5431282         
756.0051026862857         177267234.2561931         187878836.2082409         
766.0051026862857         171003739.1196874         187130129.7137606         
773.2139187436769         166485681.8787771         186723330.6907368         
783.2139187436769         160314938.9665676         186352793.9613259         
789.2997397760773         156675485.5001478         186231370.5554347         
793.6359148363881         154164967.7438584         186186086.1903517         
797.7354872685974         151872335.4522488         186167590.0684052         
802.5810606308733         149285708.8186337         186168083.3278558         
807.5265244949878         146810245.2960692         186182451.5802083         
812.0657766709155         144709383.5541203         186198591.8817207         
813.4605639352594         144100461.7854302         186202492.0797996         
814.7937862839353         143535583.2074818         186205835.1938246         
821.8364339555628         140852157.337651          186217778.993688          
827.8462147815153         139002774.9046677         186222369.5069319         
832.0436062667432         137975378.595013          186234687.3224586         
840.3980873761029         136625597.700882          186327263.0158879         
847.0907978196883         136243157.6956188         186523779.9102457         
851.5139818808238         136338655.7706365         186743330.6366087         
861.5139818808238         137566081.5589602         187571158.7508701         
871.5139818808238         140131426.6256876         188874848.3844332         
881.0519475953297         143705436.8738867         190469551.9374172         
891.0519475953297         148470332.4883127         192305804.0901449         
900.833371213841          153957390.3713176         194062345.0596687         
910.833371213841          160217664.8980987         195645517.3039294         
914.426640826292          162591037.583503          196141934.5380349         
918.2359027566818         165163538.0622309         196624049.1984393         
928.2359027566818         172124944.9731046         197675607.3665355         
938.2359027566818         179264418.7491268         198435247.5178289         
942.1349428045796         182066316.0998647         198661237.8535193         
945.8270704026218         184718832.0234294         198845169.0932817         
955.8270704026218         191856999.4056412         199220311.5444287         
963.497856504433          197242008.275194          199407741.0780495         
972.6912784786255         203538027.5855343         199552529.6577559         
982.6912784786255         210137523.2214554         199643370.7047184         
985.8962531249017         212189634.4588368         199661513.9262249         
990.0049680044795         214771916.0175718         199679685.492958          
1000.004968004479         220814835.8297276         199707206.3974453         
1010.004968004479         226491165.8930344         199718745.2576871         
1020.004968004479         231777837.793049          199723669.6558274         
1030.004968004479         236658115.8441457         199726400.480101          
1034.529169520105         238729073.2159487         199727384.7275285         
1038.725206111048         240572372.7919059         199728244.5941451         
1048.725206111048         244661657.0176945         199729242.4257024         
1058.725206111048         248318537.5388999         199727342.1230066         
1062.993596055745         249746658.9175298         199725278.1196818         
1066.932664264998         250993786.688132          199722054.6135625         
1076.932664264998         253853792.2526218         199705626.6219654         
1086.932664264998         256273657.7980923         199675018.2906675         
1093.785658380904         257677313.8054713         199644564.6084535         
1100.64108339194          258873991.3235692         199603734.0732609         
1110.64108339194          260247404.9417128         199520755.7869795         
1120.64108339194          261179063.3012738         199407684.6494219         
1130.64108339194          261668521.5946911         199262267.6203451         
1140.64108339194          261715074.9967798         199077460.3099207         
1150.64108339194          261317828.832336          198848205.9893991         
1160.64108339194          260475317.5578778         198572854.4332283         
1170.64108339194          259185425.2444405         198250192.1784831         
1180.64108339194          257445412.1912237         197876127.8785518         
1190.64108339194          255251996.7923126         197446130.7087134         
1200.64108339194          252601198.3550773         196960337.4430274         
1210.64108339194          249488335.7125771         196419671.6890306         
1220.64108339194          245908114.8914774         195825956.8139063         
1230.64108339194          241854765.8766999         195181973.0022568         
1240.64108339194          237322264.2882309         194489600.1232695         
1250.64108339194          232304630.2929078         193753435.9238126         
1260.64108339194          226796389.428541          192982412.2280411         
1270.64108339194          220793333.718536          192188397.6965553         
1280.64108339194          214293672.6290914         191386888.9000475         
1290.64108339194          207299761.1134482         190597792.0056547         
1300.64108339194          199820695.8778583         189846227.162256          
1310.64108339194          191876174.5934861         189160854.7494638         
1319.885886045067         184148198.0792814         188612053.8499924         
1329.885886045067         175429457.8694622         188144433.11266           
1335.152281580627         170716797.6834747         187962143.3902662         
1345.152281580627         161622202.6908654         187745901.5432518         
1351.657857339513         155673086.5784587         187694738.9435663         
1356.813660957861         150990967.0624889         187697042.7924368         
1363.552570165903         144988525.8871466         187739395.3148521         
1371.159419493099         138503812.1918572         187804634.0725178         
1374.416775395326         135865899.4262426         187827278.5245746         
1377.213103256629         133686415.7334825         187840437.5983037         
1380.606868251871         131163912.9198868         187852163.5635698         
1383.921265051144         128849064.5061127         187856327.444558          
1386.908300281928         126905437.122281          187860207.7446507         
1391.585987521827         124169283.7913308         187881371.3577297         
1396.353579419785         121816834.0514042         187951169.181758          
1399.591800309881         120497672.8077524         188047345.00693           
1402.968938765382         119381071.4313926         188213221.8092725         
1406.926877031186         118428376.1966561         188516807.3975609         
1414.938048483313         117740788.2040806         189594114.7804748         
1421.712697725652         118491028.3028391         191038399.0109524         
1430.936016414849         121423367.642791          193645944.2114343         
1440.156368061351         126344754.9051435         196536876.3363744         
1450.156368061351         133521555.6346628         199384677.1015557         
1453.880919216161         136582815.3367697         200278996.0713536         
1457.62012941184          139825900.7499851         201073751.4436287         
1467.62012941184          149142389.0725466         202704378.2375308         
1473.19550685924          154622257.9773299         203330143.2597057         
1483.19550685924          164721813.4382166         204073784.7859083         
1490.287060214639         171963468.5474445         204386950.1658642         
1500.287060214639         182117262.4471063         204639398.0614912         
1508.050043430474         189860815.4750746         204740255.5112656         
1518.050043430474         199560980.1240571         204803123.0888186         
