Sail.ElapsedDays          Sail.Earth.RMAG           Sail.Earth.SMA            
524.1795622798236         341082719.754662          -207.3210684233268        
533.5474946243812         350005698.5829763         -200.1711841681143        
543.5474946243812         358572613.9834065         -193.0446964347447        
550.2187759648914         363690512.4611218         -188.8028598146148        
560.2187759648914         370438832.5665612         -182.6863529332836        
570.2187759648914         376036912.3705067         -176.8447309304422        
580.2187759648914         380414587.375542          -171.753188575513         
590.2187759648914         383558769.7919307         -166.9510775701127        
600.2187759648914         385451633.4686437         -162.4369711235624        
608.9113468288378         386055292.4729866         -159.0738092862346        
618.9113468288378         385578343.9241862         -155.4602589699821        
628.9113468288378         383869801.1108598         -152.1050642849591        
638.9113468288378         380943900.0740451         -149.3665896259012        
643.5650409756418         379188239.8459058         -148.1959849832052        
648.4650900222623         377082319.3160771         -146.979396764007         
658.4650900222623         371989097.8088884         -144.7178165662366        
668.4650900222623         365886881.1635906         -142.9864585719689        
678.4650900222623         358904317.0070224         -141.412008185994         
688.4650900222623         351153914.5750539         -140.012819482839         
698.4650900222623         342758242.9025481         -138.9867531011606        
708.4650900222623         333895782.7898808         -137.9381176524432        
718.4650900222623         324721283.2705489         -136.9217181492823        
728.4650900222623         315408969.6586166         -136.0431275908865        
738.4650900222623         306181316.083083          -134.8877367720096        
746.0051026862857         299396653.7095029         -133.8906640141117        
756.0051026862857         290796117.3190706         -132.5107165096968        
766.0051026862857         282881324.0041601         -130.7212944292284        
773.2139187436769         277725208.8941683         -129.1843426304376        
783.2139187436769         271490831.1088085         -126.9532014479367        
789.2997397760773         268303614.3078137         -125.4824650242789        
793.6359148363881         266344532.1799627         -124.3329089810918        
797.7354872685974         264741207.993577          -123.2067250848957        
802.5810606308733         263165136.1110233         -121.8936103733939        
807.5265244949878         261920125.4658922         -120.6116907941566        
812.0657766709155         261105607.1665014         -119.5014414354672        
813.4605639352594         260918982.1994028         -119.172194870134         
814.7937862839353         260768665.9388707         -118.8612366088796        
821.8364339555628         260427461.592183          -117.2542562169834        
827.8462147815153         260719502.9929087         -116.0010341905746        
832.0436062667432         261221709.7360716         -115.264448673932         
840.3980873761029         262889573.9849563         -114.2417531458262        
847.0907978196883         264808107.095237          -113.8342983494574        
851.5139818808238         266331066.4091735         -113.723874858531         
861.5139818808238         270402364.7575788         -114.0881399753837        
871.5139818808238         275151890.4504539         -115.5433157357581        
881.0519475953297         280149136.0444829         -117.8184271939037        
891.0519475953297         285714027.4916443         -121.0813649004703        
900.833371213841          291292204.086386          -125.3989660537536        
910.833371213841          296974776.426501          -130.782755524025         
914.426640826292          298980209.8566463         -132.9244170621783        
918.2359027566818         301067852.607389          -135.33869516702          
928.2359027566818         306272660.4467608         -142.5561833393014        
938.2359027566818         310939852.9078503         -150.9265669821137        
942.1349428045796         312579206.2892994         -154.4403766646169        
945.8270704026218         314022238.6608965         -157.9210902272584        
955.8270704026218         317314194.6351535         -168.3683804640181        
963.497856504433          319152185.9220762         -177.4746926345868        
972.6912784786255         320487234.394249          -189.3789686327153        
982.6912784786255         320743442.1255565         -203.982750386647         
985.8962531249017         320540491.959138          -209.1855347444206        
