Sail.ElapsedDays          Sail.Sun.TA               
708.4650900222623         242.2076680894191         
718.4650900222623         246.7729378017754         
728.4650900222623         251.613570477664          
738.4650900222623         256.8203707985281         
746.0051026862857         261.052702199119          
756.0051026862857         267.1590435388603         
766.0051026862857         273.9370457386732         
773.2139187436769         279.3110172283122         
783.2139187436769         287.5156081829364         
789.2997397760773         292.9615989098842         
793.6359148363881         297.0573331283424         
797.7354872685974         301.0905287772011         
802.5810606308733         306.0599684964361         
807.5265244949878         311.3474262485433         
812.0657766709155         316.3806806046827         
813.4605639352594         317.960797122536          
814.7937862839353         319.4847114172516         
821.8364339555628         327.7366471423965         
827.8462147815153         335.0147776559451         
832.0436062667432         340.1984011716624         
840.3980873761029         350.6775195011863         
847.0907978196883         359.1304512895962         
851.5139818808238         4.69265443554132          
861.5139818808238         17.02886461626147         
871.5139818808238         28.80994785043685         
881.0519475953297         39.36624291060577         
891.0519475953297         49.67282229150666         
900.833371213841          59.02920915435343         
910.833371213841          67.9262214104624          
914.426640826292          70.97279173053886         
918.2359027566818         74.12051208570693         
928.2359027566818         82.00480428553952         
938.2359027566818         89.38351583991339         
942.1349428045796         92.13395841307216         
945.8270704026218         94.67529645613311         
955.8270704026218         101.2643055445869         
963.497856504433          106.0475104284452         
972.6912784786255         111.4925058283057         
982.6912784786255         117.0880495122744         
985.8962531249017         118.8152328782346         
990.0049680044795         120.9847667955583         
1000.004968004479         126.0682156848893         
1010.004968004479         130.899978558814          
1020.004968004479         135.5085261417709         
1030.004968004479         139.9213244072121         
1034.529169520105         141.860657292497          
1038.725206111048         143.6299434030618         
1048.725206111048         147.7417704462946         
1058.725206111048         151.7235235194409         
1062.993596055745         153.3883492688389         
1066.932664264998         154.9077203344666         
1076.932664264998         158.6978751114431         
1086.932664264998         162.4041892335702         
1093.785658380904         164.9029800924502         
1100.64108339194          167.373126965542          
1110.64108339194          170.9296152764254         
1120.64108339194          174.4398413975864         
1130.64108339194          177.9132750244323         
1140.64108339194          181.3564981354426         
1150.64108339194          184.7761126139386         
1160.64108339194          188.1799198464795         
1170.64108339194          191.5760093527558         
1180.64108339194          194.9712152275858         
1190.64108339194          198.3724743015654         
1200.64108339194          201.7901347299976         
1210.64108339194          205.2363637958431         
1220.64108339194          208.7256899272391         
1230.64108339194          212.2754752370197         
1240.64108339194          215.905063468763          
1250.64108339194          219.6389410695227         
1260.64108339194          223.5089141877404         
1270.64108339194          227.5542784903649         
1280.64108339194          231.8237461127528         
1290.64108339194          236.3778811358478         
1300.64108339194          241.2921516553628         
1310.64108339194          246.658362517828          
1319.885886045067         252.1159401089485         
1329.885886045067         258.6850429294412         
